COMMON_NAME,SPECIES_ITIS,STOCK_ABBREV,SEX_TYPE,PURPOSE_CODE,SURVEY,SEASON,YEAR,INDEX_TYPE,INDEX,CV,LOWER_90_CI,UPPER_90_CI,STRATA_SAMPLING_COMPLETE,INCOMPLETE_INDEX
GOOSEFISH,164499,SOUTH,NONE,04,"NMFS Coop. Monkfish",WINTER,2001,"Abundance (numbers/tow)",13.7947,.0611,12.4403,15.2347,N,13.7947
GOOSEFISH,164499,SOUTH,NONE,04,"NMFS Coop. Monkfish",WINTER,2002,"Abundance (numbers/tow)",,,,,,
GOOSEFISH,164499,SOUTH,NONE,04,"NMFS Coop. Monkfish",WINTER,2003,"Abundance (numbers/tow)",,,,,,
GOOSEFISH,164499,SOUTH,NONE,04,"NMFS Coop. Monkfish",WINTER,2004,"Abundance (numbers/tow)",14.506,.1118,11.7534,17.1402,N,14.506
GOOSEFISH,164499,SOUTH,NONE,04,"NMFS Coop. Monkfish",WINTER,2005,"Abundance (numbers/tow)",,,,,,
GOOSEFISH,164499,SOUTH,NONE,04,"NMFS Coop. Monkfish",WINTER,2006,"Abundance (numbers/tow)",,,,,,
GOOSEFISH,164499,SOUTH,NONE,04,"NMFS Coop. Monkfish",WINTER,2007,"Abundance (numbers/tow)",,,,,,
GOOSEFISH,164499,SOUTH,NONE,04,"NMFS Coop. Monkfish",WINTER,2008,"Abundance (numbers/tow)",,,,,,
GOOSEFISH,164499,SOUTH,NONE,04,"NMFS Coop. Monkfish",WINTER,2009,"Abundance (numbers/tow)",4.9008,.0781,4.2817,5.5245,Y,
GOOSEFISH,164499,SOUTH,NONE,04,"NMFS Coop. Monkfish",WINTER,2010,"Abundance (numbers/tow)",,,,,,
GOOSEFISH,164499,SOUTH,NONE,04,"NMFS Coop. Monkfish",WINTER,2011,"Abundance (numbers/tow)",,,,,,
GOOSEFISH,164499,SOUTH,NONE,04,"NMFS Coop. Monkfish",WINTER,2012,"Abundance (numbers/tow)",,,,,,
GOOSEFISH,164499,SOUTH,NONE,04,"NMFS Coop. Monkfish",WINTER,2013,"Abundance (numbers/tow)",,,,,,
GOOSEFISH,164499,SOUTH,NONE,04,"NMFS Coop. Monkfish",WINTER,2014,"Abundance (numbers/tow)",,,,,,
GOOSEFISH,164499,SOUTH,NONE,04,"NMFS Coop. Monkfish",WINTER,2015,"Abundance (numbers/tow)",,,,,,
GOOSEFISH,164499,SOUTH,NONE,04,"NMFS Coop. Monkfish",WINTER,2016,"Abundance (numbers/tow)",,,,,,
