COMMON_NAME,SPECIES_ITIS,STOCK_ABBREV,SEX_TYPE,PURPOSE_CODE,SURVEY,SEASON,YEAR,INDEX_TYPE,INDEX,CV,LOWER_90_CI,UPPER_90_CI,STRATA_SAMPLING_COMPLETE,INCOMPLETE_INDEX
"FLOUNDER, SUMMER (FLUKE)",172735,UNIT,NONE,10,"NMFS fall BTS",FALL,1963,"Abundance (numbers/tow)",0,,0,0,N,0
"FLOUNDER, SUMMER (FLUKE)",172735,UNIT,NONE,10,"NMFS fall BTS",FALL,1964,"Abundance (numbers/tow)",.3982,.3409,.1656,.619,N,.3982
"FLOUNDER, SUMMER (FLUKE)",172735,UNIT,NONE,10,"NMFS fall BTS",FALL,1965,"Abundance (numbers/tow)",.1693,.6647,0,.3423,N,.1693
"FLOUNDER, SUMMER (FLUKE)",172735,UNIT,NONE,10,"NMFS fall BTS",FALL,1966,"Abundance (numbers/tow)",.0535,.8855,0,.1605,N,.0535
"FLOUNDER, SUMMER (FLUKE)",172735,UNIT,NONE,10,"NMFS fall BTS",FALL,1967,"Abundance (numbers/tow)",2.0492,.2519,1.2441,2.8878,N,2.0492
"FLOUNDER, SUMMER (FLUKE)",172735,UNIT,NONE,10,"NMFS fall BTS",FALL,1968,"Abundance (numbers/tow)",1.6609,.2395,1.023,2.3195,N,1.6609
"FLOUNDER, SUMMER (FLUKE)",172735,UNIT,NONE,10,"NMFS fall BTS",FALL,1969,"Abundance (numbers/tow)",1.0009,.2896,.5807,1.5427,N,1.0009
"FLOUNDER, SUMMER (FLUKE)",172735,UNIT,NONE,10,"NMFS fall BTS",FALL,1970,"Abundance (numbers/tow)",.2343,.4302,.0796,.4097,N,.2343
"FLOUNDER, SUMMER (FLUKE)",172735,UNIT,NONE,10,"NMFS fall BTS",FALL,1971,"Abundance (numbers/tow)",.6312,.2653,.3637,.917,N,.6312
"FLOUNDER, SUMMER (FLUKE)",172735,UNIT,NONE,10,"NMFS fall BTS",FALL,1972,"Abundance (numbers/tow)",1.9097,.129,1.51,2.3428,N,1.9097
"FLOUNDER, SUMMER (FLUKE)",172735,UNIT,NONE,10,"NMFS fall BTS",FALL,1973,"Abundance (numbers/tow)",3.3174,.0948,2.7947,3.8339,N,3.3174
"FLOUNDER, SUMMER (FLUKE)",172735,UNIT,NONE,10,"NMFS fall BTS",FALL,1974,"Abundance (numbers/tow)",3.8697,.1126,3.1803,4.6323,N,3.8697
"FLOUNDER, SUMMER (FLUKE)",172735,UNIT,NONE,10,"NMFS fall BTS",FALL,1975,"Abundance (numbers/tow)",5.513,.0972,4.6545,6.4224,N,5.513
"FLOUNDER, SUMMER (FLUKE)",172735,UNIT,NONE,10,"NMFS fall BTS",FALL,1976,"Abundance (numbers/tow)",3.1659,.08,2.7392,3.5817,N,3.1659
"FLOUNDER, SUMMER (FLUKE)",172735,UNIT,NONE,10,"NMFS fall BTS",FALL,1977,"Abundance (numbers/tow)",3.6838,.1726,2.7248,4.7839,N,3.6838
"FLOUNDER, SUMMER (FLUKE)",172735,UNIT,NONE,10,"NMFS fall BTS",FALL,1978,"Abundance (numbers/tow)",.9942,.1379,.77,1.2257,N,.9942
"FLOUNDER, SUMMER (FLUKE)",172735,UNIT,NONE,10,"NMFS fall BTS",FALL,1979,"Abundance (numbers/tow)",2.027,.176,1.481,2.6415,N,2.027
"FLOUNDER, SUMMER (FLUKE)",172735,UNIT,NONE,10,"NMFS fall BTS",FALL,1980,"Abundance (numbers/tow)",3.0066,.0897,2.564,3.443,N,3.0066
"FLOUNDER, SUMMER (FLUKE)",172735,UNIT,NONE,10,"NMFS fall BTS",FALL,1981,"Abundance (numbers/tow)",1.8934,.1438,1.4576,2.3603,N,1.8934
"FLOUNDER, SUMMER (FLUKE)",172735,UNIT,NONE,10,"NMFS fall BTS",FALL,1982,"Abundance (numbers/tow)",2.5033,.2286,1.7047,3.5862,N,2.5033
"FLOUNDER, SUMMER (FLUKE)",172735,UNIT,NONE,10,"NMFS fall BTS",FALL,1983,"Abundance (numbers/tow)",2.9029,.1177,2.3933,3.4859,N,2.9029
"FLOUNDER, SUMMER (FLUKE)",172735,UNIT,NONE,10,"NMFS fall BTS",FALL,1984,"Abundance (numbers/tow)",2.0896,.2409,1.3975,3.0396,N,2.0896
"FLOUNDER, SUMMER (FLUKE)",172735,UNIT,NONE,10,"NMFS fall BTS",FALL,1985,"Abundance (numbers/tow)",1.9247,.1556,1.4404,2.4352,N,1.9247
